Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Random Forest,0.6696145503086934,0.37176470588235294,0.7149321266968326,0.4891640866873065,0.7604721834671797
LightGBM,0.7620557316869682,0.46847414880201765,0.5603318250377074,0.5103021978021978,0.7588746892998269
XGBoost,0.7588853662606374,0.46123778501628665,0.5339366515837104,0.49493184201328205,0.7530486671766496
Stacking,0.7749040547305189,0.4918149466192171,0.5211161387631976,0.5060417429512999,0.7608724457626006
